,Unnamed: 0,pdb,Lchain,Hchain,antigen_chain
22,22,8ahn,L,H,A
222,222,7kr5,O,P,F
114,114,7lk4,F,E,P
151,151,3o0r,L,H,B
460,460,5nmv,L,H,K
187,187,6t3j,C,D,E
73,73,7ucg,D,E,G
240,240,3p30,L,H,A
145,145,4ij3,C,B,A
255,255,4rdq,F,G,E
95,95,4cad,D,E,F
371,371,2xra,L,H,A
370,370,5th9,J,N,C
515,515,7mjs,L,H,X
412,412,5d8j,L,H,A
493,493,5te7,L,H,G
161,161,5bv7,C,B,A
426,426,5i9q,C,B,A
243,243,6iap,L,H,A
416,416,6wex,L,H,F
343,343,6i3z,L,H,A
322,322,2vxq,L,H,A
30,30,8dmh,F,E,a
373,373,6p65,L,H,A
552,552,2yc1,B,A,C
56,56,7xmz,L,H,C
486,486,4ye4,L,H,G
509,509,1h0d,B,A,C
422,422,2b4c,L,H,G
149,149,6lxk,J,K,C
533,533,7kra,J,I,A
183,183,7l5j,X,Y,A
0,0,8fgx,B,A,C
387,387,7stz,L,H,C
126,126,4yqx,L,H,A
294,294,4ht1,L,H,T
44,44,8hhy,L,H,A
313,313,6z06,L,H,A
109,109,7oh1,D,E,A
58,58,7r58,L,H,A
393,393,5tl5,L,H,A
456,456,6ln2,C,B,A
360,360,1qfw,I,M,B
439,439,4nzr,L,H,M
174,174,3vrl,L,H,C
122,122,6ye3,D,E,F
