,Unnamed: 0,pdb,Lchain,Hchain,antigen_chain
506,506,4k24,L,H,U
128,128,6svl,O,P,R
97,97,3opz,I,M,B
123,123,1ezv,X,Y,E
453,453,2h32,H,A,B
415,415,3lev,L,H,A
401,401,4dw2,L,H,U
483,483,6o9i,D,E,C
377,377,6ppg,L,H,F
98,98,6s3t,N,M,A
347,347,2arj,L,H,Q
411,411,1yy9,C,D,A
254,254,6n81,L,H,A
365,365,7dfp,C,B,A
202,202,4r9y,N,M,A
272,272,7rt9,C,D,Z
271,271,5wk3,W,V,D
287,287,3jab,L,H,C
177,177,4ydj,B,A,I
382,382,2zjs,L,H,Y
513,513,6meh,L,H,C
230,230,4jzj,L,H,C
146,146,4iof,F,E,B
317,317,7llk,G,H,E
438,438,6tyb,L,H,G
369,369,4mxv,L,H,A
356,356,6aod,B,A,C
302,302,6b0n,D,E,G
188,188,6vn1,J,N,C
334,334,6ztr,L,H,I
49,49,7t82,C,D,A
108,108,5mhr,O,P,E
428,428,3s35,L,H,X
190,190,6elu,K,L,J
3,3,7tri,Y,Z,B
494,494,6wo4,L,H,E
196,196,6mhr,B,A,C
140,140,4xi5,C,D,B
82,82,7fbi,L,H,A
314,314,7s13,I,M,C
358,358,5u3l,L,H,P
53,53,7u5b,B,A,J
501,501,7n3c,L,H,C
84,84,4ypg,L,H,D
473,473,3u4e,L,H,G
522,522,1kcr,L,H,P
179,179,4yue,L,H,C
99,99,3ks0,J,K,A
74,74,7usl,L,H,C
7,7,8dun,L,H,G
154,154,5f3h,F,E,L
191,191,6cw2,B,A,D
364,364,1dee,F,E,H
50,50,7ox3,B,A,C
38,38,7zmk,C,B,D
478,478,6wzm,C,D,F
5,5,8dmj,D,E,C
75,75,7yhk,F,H,A
248,248,6lz9,L,H,B
47,47,8epa,L,H,I
70,70,7sjn,D,E,B
475,475,6osh,L,H,K
225,225,2aep,L,H,A
11,11,7y1b,L,H,A
150,150,5dyo,L,H,A
328,328,6ww5,F,E,A
115,115,4uao,C,B,A
281,281,6jhq,D,E,C
253,253,2xqy,G,L,A
195,195,2i9l,F,E,K
517,517,2qqn,L,H,A
65,65,7t2p,L,H,A
321,321,3jau,L,H,A
219,219,5h35,I,H,D
298,298,4d3c,L,H,A
69,69,7srs,Q,P,R
93,93,3hi6,L,H,A
68,68,7zlk,L,H,D
21,21,8h07,J,E,C
77,77,7sbd,L,H,C
373,373,6p65,L,H,A
361,361,3ffd,B,A,P
236,236,6umx,L,H,A
350,350,7sfv,N,M,B
125,125,6rcu,D,E,A
228,228,5i6x,C,B,A
345,345,6cyf,F,E,B
42,42,8hpj,C,B,A
4,4,8byu,L,H,A
530,530,6gg0,L,H,4
64,64,7u8g,D,E,A
407,407,6rps,N,M,B
109,109,7oh1,D,E,A
255,255,4rdq,F,G,E
403,403,7nrh,L,H,A
205,205,5nuz,L,H,D
147,147,7dnh,L,H,E
6,6,8dul,L,H,A
290,290,6h3u,I,M,A
323,323,1jrh,L,H,I
319,319,5fcu,L,H,G
374,374,7teq,L,H,B
342,342,6ddr,B,A,C
259,259,5b3j,L,H,D
282,282,6ogx,C,D,G
122,122,6ye3,D,E,F
78,78,7vgr,C,D,A
489,489,2oz4,L,H,A
320,320,2b2x,L,H,A
461,461,5xjm,L,H,A
151,151,3o0r,L,H,B
299,299,7bbj,N,M,B
357,357,5yhl,L,H,A
163,163,7kyl,X,Y,Z
418,418,6l62,L,H,A
325,325,7kgv,C,E,B
265,265,7tfn,J,I,B
463,463,6wio,B,A,C
399,399,6xcj,L,H,G
515,515,7mjs,L,H,X
301,301,6wmw,L,H,B
278,278,6wzt,L,H,A
143,143,5vl3,L,H,Q
375,375,6avq,L,H,B
371,371,2xra,L,H,A
199,199,6i8s,G,K,C
41,41,8dg8,L,H,B
360,360,1qfw,I,M,B
495,495,7jtg,B,A,E
514,514,5mhs,D,E,B
231,231,6okp,Q,R,F
245,245,5vyf,B,A,C
313,313,6z06,L,H,A
469,469,6ion,L,H,A
332,332,6pv7,F,G,D
540,540,7n3d,L,H,C
389,389,4oii,I,M,B
263,263,4r0l,L,H,D
29,29,8ct6,L,H,A
238,238,7dkj,C,D,A
250,250,6kz0,I,H,G
162,162,5c8j,B,A,I
149,149,6lxk,J,K,C
470,470,7ahv,B,A,H
353,353,7v61,I,M,D
465,465,3v4p,L,H,B
94,94,6nms,B,A,C
552,552,2yc1,B,A,C
221,221,6m58,C,D,B
85,85,6hga,L,H,B
187,187,6t3j,C,D,E
89,89,6mto,L,H,T
396,396,4liq,L,H,E
34,34,7rfp,L,H,A
217,217,7pi2,F,E,D
72,72,7w71,L,H,A
305,305,7lfa,L,H,C
220,220,1a3r,L,H,P
535,535,7c80,L,H,A
466,466,4cni,L,H,C
110,110,7vux,L,H,A
367,367,6xqw,L,H,E
12,12,8da0,B,A,E
343,343,6i3z,L,H,A
198,198,2adf,L,H,A
213,213,1bgx,L,H,T
525,525,4j6r,L,H,G
234,234,6pwu,L,H,A
518,518,6gv4,L,H,B
433,433,2bdn,L,H,A
520,520,3uji,L,H,P
96,96,3q3g,J,K,L
391,391,3cvh,L,H,A
297,297,3ulv,L,H,A
63,63,8dua,L,H,B
222,222,7kr5,O,P,F
95,95,4cad,D,E,F
13,13,8esv,L,H,A
327,327,6gff,N,M,J
17,17,8slb,L,H,A
450,450,5xbm,D,E,F
246,246,5kn5,D,E,F
482,482,5w5x,L,H,A
550,550,2uzi,L,H,R
207,207,6iec,J,K,I
90,90,2r56,I,M,B
307,307,6cnj,F,G,C
341,341,6xob,T,S,K
380,380,7a0x,F,E,B
344,344,5ob5,L,H,A
410,410,6ukj,L,H,A
430,430,3w9e,B,A,C
448,448,5n7w,L,H,X
39,39,8ath,F,E,B
86,86,7bh8,G,H,A
181,181,6k7o,F,G,R
426,426,5i9q,C,B,A
526,526,6k65,L,H,A
145,145,4ij3,C,B,A
158,158,3jcx,L,H,A
503,503,7n0a,B,A,C
456,456,6ln2,C,B,A
457,457,5l6y,L,H,C
408,408,5u3m,L,H,A
435,435,4ywg,I,M,Q
200,200,4i2x,C,D,F
381,381,4ogy,L,H,A
292,292,3mxw,L,H,A
348,348,5kw9,L,H,A
71,71,7tuf,L,H,D
543,543,1oaz,L,H,A
516,516,6r2s,B,A,C
451,451,6njl,N,M,B
487,487,4ag4,L,H,A
544,544,1ors,B,A,C
106,106,6rlo,C,D,J
351,351,1pkq,B,A,E
481,481,6x4t,F,D,A
133,133,7dm1,C,D,A
60,60,7ugq,G,J,A
468,468,3fmg,L,H,A
26,26,8euq,C,D,A
393,393,5tl5,L,H,A
100,100,6v4n,C,G,M
19,19,8ee0,L,H,A
477,477,4fqj,L,H,A
539,539,6t3f,L,H,F
264,264,6j15,L,H,D
276,276,4plj,L,H,A
8,8,7zoz,L,H,A
363,363,1fsk,I,H,G
309,309,3kj4,L,H,A
283,283,7ce2,B,Z,A
472,472,6vgr,C,D,A
541,541,4zfg,L,H,A
92,92,4hc1,N,M,B
252,252,7kbb,B,A,E
32,32,7lx2,L,H,A
427,427,6dkj,L,H,C
441,441,4r4h,L,H,A
135,135,5lsp,L,H,A
22,22,8ahn,L,H,A
62,62,7zxk,L,H,C
148,148,4yc2,C,B,A
215,215,1w72,I,M,D
510,510,5t33,L,H,G
447,447,5j13,C,B,A
537,537,3s88,L,H,J
257,257,5czx,L,H,A
52,52,7wur,F,E,A
509,509,1h0d,B,A,C
173,173,1fj1,B,A,F
35,35,6wjl,L,H,G
449,449,7eo0,L,H,3
178,178,6hx4,L,H,B
167,167,4o02,L,H,A
226,226,1i9r,K,M,B
120,120,4n8c,L,H,X
400,400,6p67,F,E,G
275,275,6mlm,I,E,A
44,44,8hhy,L,H,A
300,300,5t1d,L,H,B
324,324,7tpg,L,H,B
76,76,8a1e,D,E,A
208,208,5vob,L,H,D
368,368,7kdd,D,E,A
394,394,4irz,L,H,A
212,212,6mek,F,E,C
267,267,1a2y,B,A,C
311,311,7d3k,L,H,2
216,216,5wi9,L,H,A
444,444,6lbh,C,D,B
33,33,7ty0,J,N,D
9,9,8deq,L,H,F
502,502,6nyq,L,H,C
160,160,5epm,B,A,C
285,285,5hi3,C,D,A
295,295,6vx4,K,H,F
104,104,6r0x,C,D,F
312,312,6woq,C,D,F
523,523,6u6u,L,H,R
277,277,3w2d,L,H,A
91,91,6z7w,C,D,K
484,484,6oel,L,H,B
496,496,5vgj,L,H,G
182,182,5yoy,P,M,K
458,458,6qig,L,H,A
315,315,2hfg,L,H,R
533,533,7kra,J,I,A
172,172,6aj7,L,H,C
232,232,7bsd,L,H,I
346,346,4oqt,L,H,A
36,36,8f5n,L,H,A
156,156,5w4l,D,E,G
2,2,8gp5,F,E,X
242,242,3bn9,C,D,B
508,508,2fd6,L,H,U
497,497,7nwl,D,E,B
308,308,5mo9,L,H,X
289,289,6lhq,L,H,A
414,414,6qd7,X,Z,F
421,421,7jr7,C,D,B
141,141,5k9o,L,H,I
223,223,6ktr,B,A,C
183,183,7l5j,X,Y,A
527,527,5jq6,L,H,A
511,511,7ncs,L,H,A
117,117,6mvl,L,H,A
1,1,8tco,D,E,B
113,113,7jkt,L,H,G
165,165,7kq7,L,H,B
184,184,3u9p,L,H,D
372,372,3h0t,B,A,C
274,274,6xxv,B,A,C
0,0,8fgx,B,A,C
500,500,1fns,L,H,A
383,383,3zkm,L,H,A
405,405,5k59,F,E,B
20,20,8gnk,L,H,A
176,176,6wn1,F,E,D
335,335,4zfo,L,H,K
379,379,3ubx,L,H,A
171,171,2jix,L,H,E
519,519,7o52,L,H,U
507,507,6gku,L,H,A
152,152,7kql,L,H,T
413,413,2nr6,F,E,B
316,316,5veb,L,H,Y
258,258,4qww,C,D,B
474,474,1wej,L,H,F
337,337,7ket,B,A,C
538,538,3mj9,L,H,A
504,504,6n4q,J,I,A
398,398,5nj6,L,H,A
423,423,3r08,L,H,E
480,480,5ikc,B,A,M
422,422,2b4c,L,H,G
119,119,6z3p,L,H,C
256,256,7mlh,C,A,F
249,249,7rah,B,A,E
