,Unnamed: 0,pdb,Lchain,Hchain,antigen_chain
378,378,3j1s,L,H,A
211,211,5esz,B,A,C
108,108,5mhr,O,P,E
320,320,2b2x,L,H,A
169,169,7ahu,B,A,E
79,79,8djk,L,H,B
50,50,7ox3,B,A,C
84,84,4ypg,L,H,D
8,8,7zoz,L,H,A
32,32,7lx2,L,H,A
99,99,3ks0,J,K,A
109,109,7oh1,D,E,A
517,517,2qqn,L,H,A
330,330,6fgb,L,H,A
222,222,7kr5,O,P,F
28,28,7umn,L,H,A
287,287,3jab,L,H,C
440,440,4lsv,L,H,G
55,55,7t0l,G,K,E
156,156,5w4l,D,E,G
463,463,6wio,B,A,C
486,486,4ye4,L,H,G
310,310,1kb5,L,H,A
48,48,8hc7,L,H,C
489,489,2oz4,L,H,A
419,419,7rxc,L,H,B
33,33,7ty0,J,N,D
35,35,6wjl,L,H,G
331,331,7vyt,C,B,A
63,63,8dua,L,H,B
473,473,3u4e,L,H,G
322,322,2vxq,L,H,A
365,365,7dfp,C,B,A
234,234,6pwu,L,H,A
550,550,2uzi,L,H,R
343,343,6i3z,L,H,A
45,45,7tn9,B,A,U
303,303,6w16,L,H,F
177,177,4ydj,B,A,I
219,219,5h35,I,H,D
453,453,2h32,H,A,B
296,296,6x58,C,D,F
21,21,8h07,J,E,C
248,248,6lz9,L,H,B
542,542,7k7h,L,H,A
325,325,7kgv,C,E,B
309,309,3kj4,L,H,A
199,199,6i8s,G,K,C
137,137,6k68,C,D,E
24,24,7zqt,C,D,A
184,184,3u9p,L,H,D
205,205,5nuz,L,H,D
134,134,4yzf,G,H,B
299,299,7bbj,N,M,B
116,116,1lk3,I,M,B
212,212,6mek,F,E,C
533,533,7kra,J,I,A
548,548,2r0l,L,H,B;A
532,532,2qql,L,H,A
231,231,6okp,Q,R,F
217,217,7pi2,F,E,D
56,56,7xmz,L,H,C
317,317,7llk,G,H,E
469,469,6ion,L,H,A
439,439,4nzr,L,H,M
437,437,7m30,F,G,C
340,340,1nsn,L,H,S
181,181,6k7o,F,G,R
97,97,3opz,I,M,B
114,114,7lk4,F,E,P
397,397,4zs7,L,H,A
278,278,6wzt,L,H,A
118,118,5y9f,O,P,C
448,448,5n7w,L,H,X
170,170,5c0r,L,H,A
401,401,4dw2,L,H,U
389,389,4oii,I,M,B
511,511,7ncs,L,H,A
54,54,8ddk,B,A,C
176,176,6wn1,F,E,D
327,327,6gff,N,M,J
194,194,6vtt,L,H,G
198,198,2adf,L,H,A
422,422,2b4c,L,H,G
352,352,6wit,L,H,I
182,182,5yoy,P,M,K
484,484,6oel,L,H,B
354,354,7nx3,D,E,A
103,103,6pz8,C,G,J
220,220,1a3r,L,H,P
130,130,6vvu,J,K,B
353,353,7v61,I,M,D
371,371,2xra,L,H,A
338,338,2jel,L,H,P
524,524,5tpn,L,H,A
60,60,7ugq,G,J,A
94,94,6nms,B,A,C
193,193,6p62,C,D,B
140,140,4xi5,C,D,B
472,472,6vgr,C,D,A
148,148,4yc2,C,B,A
202,202,4r9y,N,M,A
152,152,7kql,L,H,T
377,377,6ppg,L,H,F
504,504,6n4q,J,I,A
337,337,7ket,B,A,C
380,380,7a0x,F,E,B
483,483,6o9i,D,E,C
10,10,8e1m,L,H,C
269,269,3jwd,O,P,B
96,96,3q3g,J,K,L
210,210,1nfd,G,H,D
240,240,3p30,L,H,A
57,57,7xy8,L,H,A
301,301,6wmw,L,H,B
459,459,1rvf,L,H,1
359,359,7kew,G,J,A
36,36,8f5n,L,H,A
30,30,8dmh,F,E,a
20,20,8gnk,L,H,A
516,516,6r2s,B,A,C
332,332,6pv7,F,G,D
75,75,7yhk,F,H,A
200,200,4i2x,C,D,F
77,77,7sbd,L,H,C
263,263,4r0l,L,H,D
203,203,5esv,L,H,G
149,149,6lxk,J,K,C
76,76,8a1e,D,E,A
2,2,8gp5,F,E,X
520,520,3uji,L,H,P
52,52,7wur,F,E,A
262,262,6blh,L,H,G
461,461,5xjm,L,H,A
253,253,2xqy,G,L,A
384,384,7c4s,J,K,B
259,259,5b3j,L,H,D
333,333,4xmp,L,H,G
369,369,4mxv,L,H,A
321,321,3jau,L,H,A
183,183,7l5j,X,Y,A
151,151,3o0r,L,H,B
216,216,5wi9,L,H,A
416,416,6wex,L,H,F
302,302,6b0n,D,E,G
190,190,6elu,K,L,J
74,74,7usl,L,H,C
348,348,5kw9,L,H,A
243,243,6iap,L,H,A
455,455,6mlk,L,H,A
546,546,1xiw,C,D,B;A
87,87,6myy,F,G,E
239,239,3kr3,L,H,D
143,143,5vl3,L,H,Q
495,495,7jtg,B,A,E
266,266,6lhp,L,H,C
418,418,6l62,L,H,A
288,288,6ewb,J,K,D
136,136,6y9b,J,N,B
166,166,5umi,B,A,C
83,83,1nca,L,H,N
519,519,7o52,L,H,U
421,421,7jr7,C,D,B
155,155,4aei,L,H,A
356,356,6aod,B,A,C
381,381,4ogy,L,H,A
279,279,2xqb,L,H,A
126,126,4yqx,L,H,A
487,487,4ag4,L,H,A
195,195,2i9l,F,E,K
265,265,7tfn,J,I,B
22,22,8ahn,L,H,A
104,104,6r0x,C,D,F
153,153,4g80,G,H,I
282,282,6ogx,C,D,G
391,391,3cvh,L,H,A
471,471,3skj,L,H,E
226,226,1i9r,K,M,B
367,367,6xqw,L,H,E
25,25,8dn7,H,D,E
196,196,6mhr,B,A,C
64,64,7u8g,D,E,A
15,15,8ejh,L,H,A
466,466,4cni,L,H,C
297,297,3ulv,L,H,A
336,336,7qu1,B,A,C
26,26,8euq,C,D,A
43,43,8d1t,L,H,A
497,497,7nwl,D,E,B
515,515,7mjs,L,H,X
529,529,1yjd,L,H,C
454,454,1ct8,B,A,D
387,387,7stz,L,H,C
71,71,7tuf,L,H,D
456,456,6ln2,C,B,A
431,431,4jr9,L,H,A
264,264,6j15,L,H,D
209,209,6bpe,F,E,D
316,316,5veb,L,H,Y
513,513,6meh,L,H,C
313,313,6z06,L,H,A
319,319,5fcu,L,H,G
7,7,8dun,L,H,G
393,393,5tl5,L,H,A
141,141,5k9o,L,H,I
86,86,7bh8,G,H,A
478,478,6wzm,C,D,F
503,503,7n0a,B,A,C
215,215,1w72,I,M,D
398,398,5nj6,L,H,A
490,490,4kvn,L,H,A
252,252,7kbb,B,A,E
468,468,3fmg,L,H,A
357,357,5yhl,L,H,A
254,254,6n81,L,H,A
276,276,4plj,L,H,A
178,178,6hx4,L,H,B
281,281,6jhq,D,E,C
390,390,3d85,B,A,C
508,508,2fd6,L,H,U
129,129,6a77,L,H,A
144,144,3eo1,G,H,I
72,72,7w71,L,H,A
235,235,4idj,L,H,A
37,37,8hs2,C,B,R
